open;high;low;close;volume
2020-06-22 10:00:00;21.6;21.6;21.37;21.39;1014900
2020-06-22 10:15:00;21.38;21.47;21.35;21.41;1467900
2020-06-22 10:30:00;21.41;21.41;21.19;21.32;4055100
2020-06-22 10:45:00;21.32;21.42;21.28;21.32;1773000
2020-06-22 11:00:00;21.32;21.4;21.27;21.33;1655400
2020-06-22 11:15:00;21.33;21.35;21.16;21.16;2663800
2020-06-22 11:30:00;21.16;21.25;21.11;21.23;1716200
2020-06-22 11:45:00;21.23;21.28;21.14;21.17;1062000
2020-06-22 12:00:00;21.17;21.25;21.16;21.21;892100
2020-06-22 12:15:00;21.21;21.25;21.19;21.23;921000
2020-06-22 12:30:00;21.23;21.25;21.17;21.21;1436800
2020-06-22 12:45:00;21.22;21.22;21.15;21.16;863500
2020-06-22 13:00:00;21.16;21.28;21.16;21.27;1005400
2020-06-22 13:15:00;21.28;21.28;21.2;21.23;612700
2020-06-22 13:30:00;21.22;21.24;21.17;21.22;860700
2020-06-22 13:45:00;21.22;21.27;21.22;21.23;449400
2020-06-22 14:00:00;21.23;21.24;21.2;21.2;515000
2020-06-22 14:15:00;21.2;21.22;21.15;21.15;1180200
2020-06-22 14:30:00;21.15;21.16;21.1;21.11;1374200
2020-06-22 14:45:00;21.11;21.13;21.05;21.06;1186800
2020-06-22 15:00:00;21.06;21.07;20.9;21.01;4299700
2020-06-22 15:15:00;21.0;21.07;20.96;20.97;2268200
2020-06-22 15:30:00;20.96;21.02;20.92;21.01;1119200
2020-06-22 15:45:00;21.01;21.1;20.99;21.08;2078400
2020-06-22 16:00:00;21.08;21.09;21.01;21.02;944400
2020-06-22 16:15:00;21.01;21.03;20.96;20.99;1547700
2020-06-22 16:30:00;20.98;21.02;20.95;20.97;1652500
2020-06-22 16:45:00;20.98;21.0;20.95;20.97;1653800
2020-06-22 17:00:00;20.95;20.95;20.95;20.95;2294500
2020-06-22 17:30:00;20.96;20.97;20.9;20.93;541000
2020-06-22 17:45:00;20.93;20.94;20.91;20.92;313500
2020-06-23 10:00:00;21.22;21.38;21.22;21.35;3531700
2020-06-23 10:15:00;21.35;21.39;21.25;21.27;3994400
2020-06-23 10:30:00;21.28;21.45;21.14;21.44;5691000
2020-06-23 10:45:00;21.42;21.48;21.31;21.34;4539400
2020-06-23 11:00:00;21.34;21.4;21.23;21.39;4041500
2020-06-23 11:15:00;21.39;21.58;21.39;21.55;4661100
2020-06-23 11:30:00;21.55;21.78;21.55;21.67;4847100
2020-06-23 11:45:00;21.67;21.85;21.62;21.84;5361700
2020-06-23 12:00:00;21.84;22.07;21.83;21.92;8251600
2020-06-23 12:15:00;21.92;21.94;21.8;21.86;2243600
2020-06-23 12:30:00;21.86;21.89;21.76;21.85;2240500
2020-06-23 12:45:00;21.84;21.85;21.73;21.83;1743300
2020-06-23 13:00:00;21.84;21.87;21.79;21.79;1710900
2020-06-23 13:15:00;21.8;21.89;21.79;21.87;1822000
2020-06-23 13:30:00;21.87;21.91;21.83;21.85;1273900
2020-06-23 13:45:00;21.84;21.88;21.83;21.86;1149600
2020-06-23 14:00:00;21.86;21.87;21.8;21.85;1452700
2020-06-23 14:15:00;21.85;21.89;21.8;21.81;822800
2020-06-23 14:30:00;21.81;21.82;21.75;21.79;1030500
2020-06-23 14:45:00;21.79;21.8;21.63;21.68;2285300
2020-06-23 15:00:00;21.67;21.67;21.52;21.64;2991400
2020-06-23 15:15:00;21.65;21.69;21.62;21.67;935100
2020-06-23 15:30:00;21.66;21.69;21.61;21.65;1625200
2020-06-23 15:45:00;21.64;21.66;21.6;21.63;1367300
2020-06-23 16:00:00;21.62;21.63;21.54;21.59;1385100
2020-06-23 16:15:00;21.6;21.61;21.51;21.54;1427200
2020-06-23 16:30:00;21.54;21.65;21.53;21.62;2049800
2020-06-23 16:45:00;21.62;21.65;21.58;21.62;1741400
2020-06-23 17:00:00;21.65;21.65;21.65;21.65;2298700
2020-06-23 17:30:00;21.65;21.65;21.6;21.62;213500
2020-06-23 17:45:00;21.62;21.7;21.62;21.69;221600
2020-06-24 10:00:00;21.49;21.56;21.33;21.5;2923400
2020-06-24 10:15:00;21.5;21.54;21.33;21.47;2734700
2020-06-24 10:30:00;21.47;21.48;21.28;21.37;1850300
2020-06-24 10:45:00;21.37;21.45;21.26;21.31;3901000
2020-06-24 11:00:00;21.31;21.41;21.3;21.38;1003400
2020-06-24 11:15:00;21.38;21.54;21.33;21.52;2533000
2020-06-24 11:30:00;21.52;21.54;21.33;21.37;2692600
2020-06-24 11:45:00;21.37;21.38;21.13;21.15;5121100
2020-06-24 12:00:00;21.15;21.21;21.07;21.09;2205500
2020-06-24 12:15:00;21.09;21.12;20.94;21.08;5001600
2020-06-24 12:30:00;21.07;21.09;20.79;20.82;4323300
2020-06-24 12:45:00;20.8;20.85;20.71;20.83;2750800
2020-06-24 13:00:00;20.83;20.94;20.82;20.87;2192400
2020-06-24 13:15:00;20.87;20.94;20.85;20.88;1286900
2020-06-24 13:30:00;20.9;20.96;20.86;20.95;2444800
2020-06-24 13:45:00;20.95;21.09;20.94;21.07;1767700
2020-06-24 14:00:00;21.07;21.09;20.96;20.97;1202500
2020-06-24 14:15:00;20.97;21.01;20.85;20.9;1567700
2020-06-24 14:30:00;20.89;21.02;20.86;20.98;1321600
2020-06-24 14:45:00;20.98;21.13;20.97;21.11;1973000
2020-06-24 15:00:00;21.11;21.16;21.01;21.02;1166000
2020-06-24 15:15:00;21.02;21.07;21.0;21.04;1128100
2020-06-24 15:30:00;21.04;21.1;21.02;21.04;1440000
2020-06-24 15:45:00;21.02;21.08;21.02;21.06;1050000
2020-06-24 16:00:00;21.06;21.1;21.02;21.09;972600
2020-06-24 16:15:00;21.1;21.15;21.05;21.07;1437100
2020-06-24 16:30:00;21.07;21.08;21.03;21.07;903900
2020-06-24 16:45:00;21.06;21.1;21.0;21.05;1735700
2020-06-24 17:00:00;21.0;21.0;21.0;21.0;4301000
2020-06-24 17:30:00;20.99;21.03;20.99;21.02;109100
2020-06-24 17:45:00;21.01;21.04;21.0;21.03;121600
2020-06-25 10:00:00;20.91;20.99;20.86;20.93;2385300
2020-06-25 10:15:00;20.93;20.95;20.87;20.93;1983200
2020-06-25 10:30:00;20.92;20.92;20.73;20.79;2966900
2020-06-25 10:45:00;20.79;20.9;20.73;20.89;2003300
2020-06-25 11:00:00;20.89;21.17;20.89;21.13;6277800
2020-06-25 11:15:00;21.11;21.2;21.06;21.15;2622700
2020-06-25 11:30:00;21.16;21.18;21.03;21.07;2455900
2020-06-25 11:45:00;21.07;21.13;21.0;21.03;1660700
2020-06-25 12:00:00;21.03;21.15;21.01;21.13;1169500
2020-06-25 12:15:00;21.14;21.19;21.06;21.08;1643400
2020-06-25 12:30:00;21.07;21.09;20.93;21.04;2100000
2020-06-25 12:45:00;21.04;21.09;21.02;21.08;788200
