,DateTime,Open,High,Low,Close,Volume,Average
0,20190603,25.16,25.585,25.13,25.265,45303900,25.38640522
1,20190604,25.56,25.635,25.305,25.47,30061700,25.43306872
2,20190605,25.45,25.56,24.85,25.14,55797700,25.20266766
3,20190606,25.44,25.89,25.005,25.55,75670300,25.40633442
4,20190607,25.945,26.085,25.635,26.015,44489100,25.90407848
5,20190610,25.86,26.14,25.78,25.91,34743200,25.92497984
6,20190611,26.14,26.345,25.965,26.405,37906200,26.13788209
7,20190612,26.27,26.365,25.9,26.1,35910900,26.17482403
8,20190613,26.395,26.625,26.375,26.425,40233900,26.51021797
9,20190614,26.445,26.49,26.15,26.305,34416800,26.29682965
10,20190617,26.325,26.665,26.21,26.355,40471600,26.51264837
11,20190618,26.54,26.755,26.49,26.685,26822300,26.64291732
12,20190619,26.59,26.755,26.46,26.755,26665100,26.61715517
13,20190621,27.17,27.6,27.17,27.495,47404500,27.45758435
14,20190624,27.53,27.59,27.335,27.465,20782900,27.4653616
15,20190625,27.355,27.375,26.62,26.745,44680700,27.05268123
16,20190626,26.785,27.15,26.755,26.9,43103400,26.95109089
17,20190627,26.675,26.785,26.26,26.47,47341200,26.47813681
18,20190628,26.685,26.84,26.355,26.645,26405300,26.60062852
19,20190701,27.065,27.25,27.055,26.5,7743000,27.16156274
20,20190702,26.5,26.5,25.975,26.075,44744300,26.15975561
21,20190703,26.285,26.425,26.14,26.375,26397100,26.29537142
22,20190704,26.62,26.81,26.56,26.625,21971200,26.70951003
23,20190705,26.51,26.82,26.375,26.635,22248000,26.65263888
24,20190708,26.735,26.95,26.675,26.88,19132700,26.846098
25,20190710,27.22,27.485,27.22,27.29,41444100,27.40265752
26,20190711,27.415,27.705,27.375,27.61,40362100,27.5256353
27,20190712,27.745,27.94,27.62,27.735,33380000,27.77693772
28,20190715,27.795,27.85,27.465,27.395,28692100,27.63403073
29,20190716,27.495,27.54,26.83,27.055,45465300,27.18781096
30,20190717,27.21,27.22,26.87,26.91,23161600,27.00115694
31,20190718,26.985,27.035,26.665,26.745,28738000,26.77950529
32,20190719,26.735,26.83,26.61,26.675,22877700,26.71437081
33,20190722,26.85,26.975,26.6,26.725,19438600,26.77318627
34,20190723,26.745,26.86,26.635,26.755,13724100,26.75957608
35,20190724,26.82,26.87,26.54,26.59,21819300,26.73770256
36,20190725,26.705,26.735,26.075,26.14,21915100,26.32405003
37,20190726,26.055,26.055,25.375,25.41,62533700,25.59007198
38,20190729,25.49,25.705,25.235,25.645,19836200,25.42383324
39,20190730,25.615,25.75,25.45,25.51,29117700,25.59347452
40,20190731,25.655,25.76,25.295,25.355,26644900,25.5560465
41,20190801,25.57,25.82,24.46,24.885,77914600,25.22502726
42,20190802,25.635,26.14,25.55,25.78,56341900,25.85790105
43,20190805,25.08,25.4,24.81,24.84,36517100,25.0748291
44,20190806,25.18,25.49,24.965,25.16,35158400,25.21384746
45,20190807,24.73,24.73,24.305,24.885,50050100,24.45313511
46,20190808,25.375,25.52,25.14,25.615,39653500,25.34800504
47,20190809,25.57,25.945,25.375,25.55,30483800,25.63576332
48,20190812,25.2,25.2,24.83,24.935,27455300,24.97402279
49,20190813,24.85,25.6,24.72,25.27,37865400,25.34389582
50,20190814,24.75,24.865,24.36,24.415,43409000,24.58308415
51,20190815,24.485,24.495,23.65,23.74,43201800,23.96924189
52,20190816,24.22,24.27,23.405,23.425,41735300,23.83305023
53,20190819,23.81,24.005,23.37,23.545,40939400,23.68510102
54,20190820,23.425,23.7,23.2,23.535,25274000,23.48032364
55,20190821,23.86,25.465,23.69,24.935,71120200,24.47922576
56,20190822,24.985,25.2,24.65,24.71,32355700,24.87702298
57,20190823,24.28,24.855,23.82,23.79,50299700,24.24603429
58,20190826,24.085,24.18,23.3,23.475,30571700,23.58565172
59,20190827,23.85,23.85,23.85,23.85,0,23.84823707
60,20190828,23.71,24.2,23.635,24.095,33457800,23.99030751
61,20190829,24.395,24.81,24.18,24.985,49677200,24.47285709
62,20190830,25.015,25.17,24.66,24.985,44179000,24.90004818
63,20190902,24.875,25.065,24.76,24.79,14092200,24.88829063
64,20190903,24.605,25.14,24.525,25.085,39599800,24.79276051
65,20190904,25.66,25.835,25.475,25.73,48383100,25.70544058
66,20190905,26.065,26.25,25.81,25.855,42512800,26.05865707
67,20190906,25.865,26.315,25.67,25.985,37904400,26.0023188
68,20190909,26.21,26.475,26.16,26.385,30973100,26.34965651
69,20190910,26.455,26.795,26.24,26.55,35619200,26.553944
70,20190911,26.795,26.795,26.29,26.325,43698000,26.56031268
71,20190912,26.315,26.59,26.1,26.515,37585900,26.33887876
72,20190913,26.57,26.65,26.31,26.335,20209100,26.46429266
73,20190916,27.55,27.67,27.13,27.495,145649900,27.43723019
74,20190917,27.1,27.19,26.61,27.13,58270800,26.93557458
75,20190918,26.815,26.935,26.73,26.67,30635800,26.82191823
76,20190919,27.27,27.285,26.815,26.74,28307500,27.10262982
77,20190920,26.795,26.875,26.505,26.455,30318100,26.66711045
78,20190923,26.455,26.935,26.375,26.925,25629500,26.7312871
79,20190924,26.865,26.985,26.6,26.72,29098900,26.73912546
80,20190925,26.485,26.73,26.24,26.79,24746700,26.47066133
81,20190926,26.845,27.04,26.68,27.14,26857500,26.88756457
82,20190927,26.995,27.385,26.965,27.1,27120300,27.18395289
83,20190930,27.005,27.08,26.845,26.995,15841300,26.97329673
84,20191001,27.04,27.17,26.805,26.955,23209700,26.97427653
85,20191002,26.67,26.71,26.07,26.18,41268400,26.35994437
86,20191003,26.21,26.27,25.75,26.2,37244400,26.01603594
87,20191004,26.31,26.375,25.74,25.975,36852900,25.977334
88,20191007,25.835,26.065,25.58,25.64,18490900,25.86024836
89,20191008,25.64,25.905,25.525,25.495,22156000,25.67163761
90,20191009,25.82,26.17,25.62,25.985,28332300,25.88817255
91,20191010,26.055,26.335,26.005,26.2,25114000,26.17378311
92,20191011,26.385,26.78,26.385,26.71,30164100,26.61469136
93,20191014,26.495,26.74,26.395,26.76,15820000,26.56129247
94,20191015,26.76,27.315,26.76,27.04,24786400,27.11634696
95,20191016,26.995,27.405,26.805,27.365,25235500,27.11193788
96,20191017,27.365,27.435,27.035,27.1,22196600,27.22363464
97,20191018,27.325,27.425,27.07,27.04,30044900,27.25008913
98,20191021,27.19,27.25,27.04,27.21,36865400,27.1584782
99,20191022,27.24,28.1,27.21,27.995,57427000,27.86295159
100,20191023,27.955,28.415,27.875,28.365,36853500,28.2382135
101,20191024,28.56,28.66,27.69,27.75,51098100,28.05548152
102,20191025,28.61,28.955,28.425,28.66,66450400,28.74672767
103,20191028,28.63,28.975,28.53,29.0,28880600,28.78689931
104,20191029,28.805,29.335,28.67,29.22,44033500,28.96963129
105,20191030,29.17,29.48,28.875,29.47,52577000,29.30325186
106,20191031,29.255,29.735,29.04,29.775,52818400,29.44826168
107,20191101,29.97,30.6,29.235,29.815,86722700,30.172331
108,20191104,30.265,30.59,29.355,29.745,74177300,29.82646298
